Grad.prog.,Study Prog,Course name,Lang,Requests,Max,Class code,Semester
Bachelor,Digital Media and Design,Concept Development with Industry **,English,68,75,BACODEI1KU,2016-Spring
Bachelor,Digital Media and Design,Context-based App-design **,English,32,40,BACOBAD1KU,2016-Spring
Bachelor,Digital Media and Design,Digital Culture and Media **,Danish,65,70,1914002U,2016-Spring
Bachelor,Digital Media and Design,Digital Material and Interactive Artefacts **,English,37,40,1914003U,2016-Spring
Bachelor,Digital Media and Design,Digital Material and Social Media **,English,26,30,1914004U,2016-Spring
Bachelor,Digital Media and Design,E-business and Entrepreneurship **,Danish,50,52,BAEBIVA1KU,2016-Spring
Bachelor,Digital Media and Design,Expressive Media **,English,44,40,BAEXMED1KU,2016-Spring
Bachelor,Digital Media and Design,Philosophy of Science and Technology **,English,77,80,BAPHSCT1KU,2016-Spring
Bachelor,Digital Media and Design,Sustainable Futures **,Danish,48,52,BABAFRE1KU,2016-Spring
Bachelor,Digital Media and Design,User Surveys and Quantitative Methods **,Danish,64,70,1914001U,2016-Spring
Bachelor,Global Business Informatics,Database Use and Design **,English,56,75,BDBD,2016-Spring
Bachelor,Global Business Informatics,Global Project Management **,English,60,75,BGPL,2016-Spring
Bachelor,Global Business Informatics,IT & Work Design **,English,56,75,BDIA,2016-Spring
Bachelor,Global Business Informatics,IT Enabled Process Improvement **,English,58,75,BSPF,2016-Spring
Bachelor,Global Business Informatics,IT Governance & Quality Management **,English,55,80,BGKS,2016-Spring
Bachelor,Global Business Informatics,IT and Business Process Modeling **,English,62,75,BIMF,2016-Spring
Bachelor,Global Business Informatics,Philosophy of Science and Technology **,English,60,75,BVTT,2016-Spring
Bachelor,Software Development,Algorithms and Data Structures **,English,88,100,BADS,2016-Spring
Bachelor,Software Development,First-year Project: Map of Denmark: Visualization,Navigation,Searching,and Route Planning **,Danish,83,100,BFST,2016-Spring
Bachelor,Software Development,Functional Programming **,English,77,85,BFNP,2016-Spring
Bachelor,Software Development,Reflections about IT **,Danish,54,60,1410001U,2016-Spring
Bachelor,Software Development,Second Year Project: Software Development in Large Teams with International Collaboration **,English,72,85,BNDN,2016-Spring
Bachelor,Software Development,System Development and Project Organization **,English,69,85,BSUP,2016-Spring
Bachelor,Software Development,Systematic Design of User Interfaces **,Danish,80,100,BSDB,2016-Spring
