Grad.prog.,Study Prog,Course name,Lang,Requests,Max,Class code,Semester
Bachelor,Digital Media and Design,Academic Work and Communication **,Danish,65,76,BAAF,2016-Fall
Bachelor,Digital Media and Design,Co-design and Qualitative Methods **,English,60,80,BCQM,2016-Fall
Bachelor,Digital Media and Design,Designing Digital Play **,English,48,49,BADEDIP1KU,2016-Fall
Bachelor,Digital Media and Design,Digital Experience and Aesthetics **,English,62,81,BDEA,2016-Fall
Bachelor,Digital Media and Design,Interaction Design: Genres and Contexts **,Danish,65,76,BIDG,2016-Fall
Bachelor,Digital Media and Design,Media and Communication Theory **,Danish,66,76,BMKT,2016-Fall
Bachelor,Digital Media and Design,Network Society **,English,43,40,BNWS,2016-Fall
Bachelor,Digital Media and Design,Qualitative Research Methods and Academic Communication **,Danish,55,60,BAKVFAF1KU,2016-Fall
Bachelor,Digital Media and Design,Webdesign and Portfolio **,Danish,67,76,BWPF,2016-Fall
Bachelor,Global Business Informatics,Business Foundations **,English,64,70,BGFF,2016-Fall
Bachelor,Global Business Informatics,Enterprise Systems and Information Management **,English,54,70,BVSV,2016-Fall
Bachelor,Global Business Informatics,IT Foundations **,English,69,80,BITF,2016-Fall
Bachelor,Global Business Informatics,IT Globalisation and Culture **,English,47,60,BIGK,2016-Fall
Bachelor,Global Business Informatics,IT-Enabled Supply Chain Management **,English,51,60,BSCM,2016-Fall
Bachelor,Global Business Informatics,New Media and Communication **,English,68,80,BNMK,2016-Fall
Bachelor,Global Business Informatics,Organisation and Process Theory **,English,59,70,BOPT,2016-Fall
Bachelor,Global Business Informatics,Society and Technology **,English,69,80,BSFT,2016-Fall
Bachelor,Software Development,Analysis Design and Software Architecture **,English,80,110,BDSA,2016-Fall
Bachelor,Software Development,Business Processes and Organisation with Project **,Danish,65,70,BFOP,2016-Fall
Bachelor,Software Development,Foundations of Computing - Discrete Mathematics BSc **,English,151,150,BSFOCDM1KU,2016-Fall
Bachelor,Software Development,Introduction to Database Design BSc **,English,78,110,BSINDAD1KU,2016-Fall
Bachelor,Software Development,Introductory Programming **,Danish,146,140,BSGRPRO1KU,2016-Fall
Bachelor,Software Development,Mobile and Distributed Systems BSc **,English,76,110,BSMODIS1KU,2016-Fall
Bachelor,Software Development,Operating Systems and C **,Danish,67,70,BOSC,2016-Fall
Bachelor,Software Development,Programs as Data **,Danish,71,70,BPRD,2016-Fall
Bachelor,Software Development,Project Work and Communication **,Danish,74,70,BPAK-1,2016-Fall
Bachelor,Software Development,Project Work and Communication **,Danish,75,70,BPAK-2,2016-Fall
Diploma,Diploma programme,Business Cases,Danish,8,50,MBUC,2016-Fall
Diploma,Diploma programme,IT Project and Programme Management,Danish,12,50,MPPS,2016-Fall
Diploma,Diploma programme,Personas and Target Group Analysis,Danish,5,20,DAPEMGA1KU,2016-Fall
Diploma,Diploma programme,Software Engineering and Software Qualities DIT,English,4,20,DSSOESQ1KU,2016-Fall
Diploma,Diploma programme,Strategic Management,Danish,2,50,MSTL,2016-Fall
I-KV,Qualification Process for IT Leadership and Management,Advanced Academic Project IT Management,Danish,6,15,IBILMVA1KU,2016-Fall
I-KV,Qualification Process for IT Leadership and Management,Introductory Academic Project (I-KV),Danish,9,35,IIINAKP1KU,2016-Fall
